time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-18T16:51:05.160Z,-20.7979,-175.4352,10,4.6,mb,,124,6.859,0.61,us,us7000ge50,2022-01-22T04:19:50.040Z,"44 km NNW of Nuku‘alofa, Tonga",earthquake,10.6,1.9,0.173,10,reviewed,us,us
2022-01-18T14:31:50.827Z,-20.6843,-175.3304,10,4.6,mb,,157,6.901,0.85,us,us7000gdyh,2022-01-21T23:58:27.040Z,"Tonga",earthquake,10.9,1.9,0.085,45,reviewed,us,us
2022-01-18T11:03:55.050Z,-20.6174,-175.6148,10,4.6,mb,,124,6.631,0.33,us,us7000gcuy,2022-01-19T15:27:11.040Z,"72 km NW of Nuku‘alofa, Tonga",earthquake,12.6,1.9,0.073,57,reviewed,us,us
2022-01-18T07:59:09.493Z,-20.4401,-175.3281,10,4.6,mb,,188,6.808,0.61,us,us7000ge4x,2022-01-22T04:00:04.040Z,"78 km N of Nuku‘alofa, Tonga",earthquake,10.7,2,0.157,12,reviewed,us,us
2022-01-18T06:52:35.057Z,-20.7433,-175.4879,10,4.7,mb,,124,6.791,0.69,us,us7000gcty,2022-01-22T03:29:13.040Z,"52 km NW of Nuku‘alofa, Tonga",earthquake,15.8,1.9,0.094,34,reviewed,us,us
2022-01-18T05:18:59.647Z,-20.4725,-175.249,10,4.4,mb,,149,6.889,0.53,us,us7000ge4u,2022-01-22T03:39:28.040Z,"73 km N of Nuku‘alofa, Tonga",earthquake,15.9,1.8,0.269,4,reviewed,us,us
2022-01-16T05:46:18.409Z,-20.62,-175.3892,10,4.7,mb,,149,6.825,0.41,us,us7000gds7,2022-01-21T06:38:05.040Z,"60 km NNW of Nuku‘alofa, Tonga",earthquake,9.7,1.9,0.166,11,reviewed,us,us
2022-01-16T02:24:37.770Z,-20.8784,-175.4558,10,4.8,mb,,78,6.876,0.51,us,us7000gdef,2022-01-20T22:26:50.040Z,"39 km NW of Nuku‘alofa, Tonga",earthquake,15.2,1.9,0.095,37,reviewed,us,us
2022-01-15T04:14:45.000Z,-20.546,-175.39,0,5.8,ms_20,,,,1.02,us,us7000gc8r,2022-01-24T15:23:38.665Z,"68 km NNW of Nuku‘alofa, Tonga",volcanic eruption,21.9,9.7,0.021,506,reviewed,us,us
2022-01-14T01:08:39.043Z,-20.4601,-175.4932,10,4.7,mb,,127,6.673,0.94,us,us7000gdxk,2022-01-21T23:31:01.040Z,"81 km NNW of Nuku‘alofa, Tonga",earthquake,11.4,1.7,0.208,7,reviewed,us,us
